kind,error
"Scale Up",0.17664934450436046
"Scale Up",0.02981663399138211
"Scale Up",0.12099136752470607
"Scale Up",0.06918405069976234
"Scale Up",0.17161814917807736
"Scale Up",0.15523524254081203
"Scale Up",1.5641966250917094
"Scale Up",0.06506719307569661
"Scale Up",0.2884389219676492
"Scale Up",0.10043917982468409
"Scale Up",0.35108533048389556
"Scale Up",0.47984999035307735
"Scale Up",0.07350238882763689
"Scale Up",0.06459266062067118
"Scale Up",0.08934659043940892
"Scale Up",0.10719197858155284
"Scale Up",0.161106006661307
"Scale Up",0.005686379448755686
"Scale Up",0.26907630522088355
"Scale Up",0.27436781609195404
"Scale Up",0.0729763026306254
"Scale Up",0.3011713321421481
"Scale Up",0.10837246897285573
"Scale Up",0.03737229468225824
"Scale Up",0.25470677342566544
"Scale Up",0.16770740410347904
"Scale Up",0.05021872265966754
"Scale Up",0.06925833969336592
"Scale Up",0.07125374925014998
"Scale Up",0.006349675132900177
"Scale Up",0.21045964531306552
"Scale Up",0.28625045770779933
"Scale Up",0.3341589073652774
"Scale Up",0.06496085991354131
"Scale Up",0.1784720876809388
"Scale Up",0.0334209538114908
"Scale Up",0.15548162763331358
"Scale Up",0.7923416256870118
"Scale Up",0.16056034482758622
"Scale Up",0.21454661599947586
"Scale Up",0.11226938834880845
"Scale Up",0.3563164108618654
"Scale Up",0.19287280701754386
"Scale Up",0.19313011828935395
"Scale Up",0.33754208754208753
"Scale Up",0.07717736093234584
"Scale Up",0.06669108285808961
"Scale Up",0.10211817168338908
"Scale Up",0.4289102139863225
"Scale Up",0.05052352086568809
"Scale Up",0.03114421123899797
"Scale Up",0.07384135284443133
"Scale Up",0.18103406578005762
"Scale Up",0.052965879265091866
"Scale Up",0.16841934961980262
"Scale Up",0.09045567898435729
"Scale Up",0.42443729903536975
"Scale Up",0.3832963485979423
"Scale Up",0.2917417580429197
"Scale Up",0.07403577171872819
"Scale Up",0.057303983991267966
"Scale Up",0.061139896373056994
"Scale Up",0.35001837447173395
"Scale Up",0.09483198428350606
"Scale Up",0.3863749005001277
"Scale Up",0.05811623246492986
"Scale Up",0.4342070143596861
"Scale Up",0.09794762915782024
"Scale Up",0.11679515528197773
"Scale Up",0.26303675850717906
"Scale Up",0.4098677940136007
"Scale Up",0.06662862034527037
"Scale Up",0.07474964234620887
"Scale Up",0.018542620181548546
"Scale Up",0.05975089277937462
"Scale Up",0.058857862562590235
"Scale Up",0.018216450216450217
"Scale Up",0.24373999604016136
"Scale Up",0.06472919418758256
"Scale Up",0.14755338826298975
"Scale Up",0.24645162835822684
"Scale Up",0.41769262128006523
"Scale Up",0.0369233546989257
"Scale Up",0.01644319467782312
"Scale Up",0.29070349960638375
"Scale Up",0.1977555440553543
"Scale Up",0.2638482906370849
"Scale Up",0.1631351304119883
"Scale Up",0.5689780817310387
"Scale Up",0.20130179393554531
"Scale Up",0.09093562579883983
"Scale Up",0.041146645865834636
"Scale Up",0.220743095569243
"Scale Up",0.430784246389647
"Scale Up",0.03771213073538655
"Scale Up",0.23451400329489291
"Scale Up",0.2192729371032891
"Scale Up",0.08652999329270071
"Scale Up",0.15561835259450252
"Scale Up",0.1999030045495485
"Scale Up",0.1620405435509022
"Scale Up",0.5022547914317925
"Scale Up",0.07235421166306695
"Scale Up",0.28969031752254015
"Scale Up",0.30320773930753564
"Scale Up",0.22967228849581792
"Scale Up",0.046013143865904604
"Scale Up",0.10069444444444445
"Scale Up",0.14961564257338905
"Scale Up",0.23026678403079986
"Scale Up",0.05111677256310302
"Scale Up",0.04257328349399961
"Scale Up",0.25318718292458536
"Scale Up",0.2493717378697081
"Scale Up",0.07626746653010462
"Scale Up",0.2494994822229893
"Scale Up",0.35967624362164746
"Scale Up",0.03644600440780345
"Scale Up",0.0914380090837431
"Scale Up",0.048900327562002806
"Scale Up",0.2853765504008771
"Scale Up",0.04483521187045227
"Scale Up",0.036311127424839496
"Scale Up",0.35762131206217723
"Scale Up",0.3793400414136361
"Scale Up",0.016408507756859047
"Scale Up",0.13088109495295125
"Scale Up",0.02603588907014682
"Scale Up",0.11924554066740634
"Scale Up",0.10380729943439232
"Scale Up",0.1123830775814636
"Scale Up",0.4764950096452235
"Scale Up",0.012345679012345678
"Scale Up",0.04047124893175436
"Scale Up",1.2742967646722052
"Scale Up",0.03354534941351396
"Scale Up",0.03228599073178184
"Scale Up",0.08350340361921374
"Scale Up",0.11044518052978718
"Scale Up",0.3616998439841914
"Scale Up",0.2866022524463044
"Scale Up",0.26251345532831
"Scale Up",0.5390475141109948
"Scale Up",0.05340445412440088
"Scale Up",0.37709793923943064
"Scale Up",0.11481672322808763
"Scale Up",0.1303788686031206
"Scale Up",0.16161467735841134
"Scale Up",0.2154425735977561
"Scale Up",0.15477770404777705
"Scale Up",0.12611477316789454
"Scale Up",0.0445758335516222
"Scale Up",0.18285038438793613
"Scale Up",0.08951554591467824
"Scale Up",0.11269754437150499
"Scale Up",0.0345309660282399
"Scale Up",0.01133794734462491
"Scale Up",0.0368474923234391
"Scale Up",0.2151317132938534
"Scale Up",0.1266528288703015
"Scale Up",0.2610628989457075
"Scale Up",0.1383948774233148
"Scale Up",0.20916999149715482
"Scale Up",0.3739053516143299
"Scale Up",0.012875702928058948
"Scale Up",0.08220285688617375
"Scale Up",0.18992195909580195
"Scale Up",0.10857052860660901
"Scale Up",0.09949459830741313
"Scale Up",0.011869436201780416
"Scale Up",0.034682966696179256
"Scale Up",0.06438176627946642
"Scale Up",0.23065184216263354
"Scale Up",0.18871512097732565
"Scale Up",0.057357468945747954
"Scale Up",0.28820394642085556
"Scale Up",0.11561688595851445
"Scale Up",0.1783783783783784
"Scale Up",0.014435407049168316
"Scale Up",0.19247990815154994
"Scale Up",0.6849048743230107
"Scale Up",0.058939354161197166
"Scale Up",0.06578614229048865
"Scale Up",0.2153846153846154
"Scale Up",0.10019108870051266
"Scale Up",0.13995415666671004
"Scale Up",0.1374637211868269
"Scale Up",0.047682726473847095
"Scale Up",0.03722700895301143
"Scale Up",0.020035990575663694
"Scale Up",0.0047045383736628935
"Scale Up",0.07724736515809051
"Scale Up",0.2156826182525018
"Scale Up",0.07251168623874131
"Scale Up",0.02517798311053887
"Scale Up",0.0720078587256985
"Scale Up",0.16911676105554885
"Scale Up",0.31783402001177163
"Scale Up",0.06107369500273992
"Scale Up",0.9061657160345127
"Scale Up",0.5336653796065709
"Scale Up",0.1153344496905194
"Scale Up",0.03966914787957752
"Scale Up",0.057983761254040186
"Scale Up",0.10268464491943043
"Scale Up",0.21594776838274643
"Scale Up",0.26876599094666404
"Scale Up",0.29952930201000766
"Scale Up",0.37029501525940994
"Scale Up",0.3055073218730104
"Scale Up",0.0978539202536276
"Scale Up",0.31249542850176765
"Scale Up",0.0993305590736385
"Scale Up",0.27948893451973533
"Scale Up",0.008937969316892174
"Scale Up",0.02664311821762167
"Scale Up",0.06604420731707317
"Scale Up",0.3874651671974522
"Scale Up",0.010514401453548983
"Scale Up",0.03645453013537044
"Scale Up",0.062414548203150184
"Scale Up",0.04161625937575611
"Scale Up",0.024001913319780653
"Scale Up",0.04496312409769991
"Scale Up",0.05730094364649259
"Scale Up",0.656304575619979
"Scale Up",0.41115510583174464
"Scale Up",0.11389319742964768
"Scale Up",0.10606125692684394
"Scale Up",0.13322070366452776
"Scale Up",0.16020558805839577
"Scale Up",0.3985366903378524
"Scale Up",0.006107742896778503
"Scale Up",0.07715602836879433
"Scale Up",0.21980680049917575
"Scale Up",0.10097719869706841
"Scale Up",0.10162872654538528
"Scale Up",0.020126252439463154
"Scale Up",0.00831159310924732
"Scale Up",0.011710006518648834
"Scale Up",0.053546597660636075
"Scale Up",0.10492586076903744
"Scale Up",0.03694167043622487
"Scale Up",0.018749792351905378
"Scale Up",0.0634937608030352
"Scale Up",0.3501517450682853
"Scale Up",0.13487674295463906
"Scale Up",0.30195096085279116
"Scale Up",0.33090365386412485
"Scale Up",0.07154147883613371
"Scale Up",0.17458144511581067
"Scale Up",0.20982245792022136
"Scale Up",0.23583872428043634
"Scale Up",0.165885556400913
"Scale Up",0.2675182726480252
"Scale Up",0.13770795112272582
"Scale Up",0.1975186647859775
"Scale Up",0.7590646629028323
"Scale Up",0.1517868221863755
"Scale Up",0.07214542907487058
"Scale Up",0.060275296627116386
"Scale Up",0.022936166624504595
"Scale Up",0.2573409024834361
"Scale Up",0.005224548567870486
"Scale Up",0.10664443079083648
"Scale Up",0.238693378932776
"Scale Up",0.008811802943605649
"Scale Up",0.12246850994490857
"Scale Up",0.009241286786743927
"Scale Up",0.025804885239362856
"Scale Up",0.15559584638206692
"Scale Up",0.29681213246672855
"Scale Up",0.001422070534698521
"Scale Up",0.5722027852095767
"Scale Up",0.0358136945629987
"Scale Up",0.15088784815757605
"Scale Up",0.10187247019075721
"Scale Up",0.20870535714285715
"Scale Up",0.20397350993377483
"Scale Up",0.003455461945389452
"Scale Up",0.06827461779508119
"Scale Up",0.5457829006115199
"Scale Up",0.06651562288651428
"Scale Up",0.25004368338284116
"Scale Up",0.16666666666666666
"Scale Up",0.08892345986309894
"Scale Up",0.059879026129950656
"Scale Up",1.0485907584431235
"Scale Up",0.19621775251421075
"Scale Up",0.014749543817370914
"Scale Up",0.052636334774220334
"Scale Up",0.20982085620709348
"Scale Up",0.04066627199041083
"Scale Up",0.1073888541014402
"Scale Up",0.24735755404536938
"Scale Up",0.08315473639091299
"Scale Up",0.07940153659522847
"Scale Up",0.16642566449516258
"Scale Up",0.020109550134401785
"Scale Up",0.031455953475951696
"Scale Up",0.2176823902980221
"Scale Up",0.002803457597703835
"Scale Up",0.053192722215783986
"Scale Up",0.31129506079485
"Scale Up",0.1724574324714873
"Scale Up",0.08131740563211504
"Scale Up",0.058435438265786996
"Scale Up",0.28204311044153435
"Scale Up",0.06977595651500429
"Scale Up",0.05615541327124563
"Scale Up",0.08891081226093428
"Scale Up",0.008915726764768223
"Scale Up",0.08618691936852124
"Scale Up",0.6341568603290001
"Scale Up",0.11384758364312268
"Scale Up",0.1430079470990101
"Scale Up",0.08768635624087573
"Scale Up",0.1831419624217119
"Scale Up",0.23628820164741213
"Scale Up",0.18830762479072868
"Scale Up",0.9973368522072936
"Scale Up",0.08621997471554994
"Scale Up",0.14419848136495644
"Scale Up",0.23538260300850228
"Scale Up",0.04120872920945138
"Scale Up",0.09511731135066583
"Scale Up",0.1456053582017142
"Scale Up",0.0655998380103864
"Scale Up",0.36821848473664787
"Scale Up",0.055672384162758735
"Scale Up",0.24152249134948098
"Scale Up",0.08445276542632031
"Scale Up",0.3469158878504673
"Scale Up",0.06634961685643988
"Scale Up",0.13359735386167104
"Scale Up",0.06773981691216878
"Scale Up",0.14390542193232775
"Scale Up",0.052605652061187454
"Scale Up",0.023115423115423115
"Scale Up",0.47739243807040416
"Scale Up",0.10363484144826063
"Scale Up",0.09379802911129193
"Scale Up",0.13896327721065888
"Scale Up",0.14498644986449866
"Scale Up",0.018744383104377968
"Scale Up",0.1963669391462307
"Scale Up",0.03121067203624465
"Scale Up",0.07502774694783573
"Scale Up",0.186926232176574
"Scale Up",0.06353429052071516
"Scale Up",0.13287132101300478
"Scale Up",0.14810821703864174
"Scale Up",0.04039128675974846
"Scale Up",0.02746686436540513
"Scale Up",0.09566073047907542
"Scale Up",0.03258366193251212
"Scale Up",0.00376984126984127
"Scale Up",0.06532483346465152
"Scale Up",0.08349802371541502
"Scale Up",0.18176914778856526
"Scale Up",0.0686686375188009
"Scale Up",0.033427835051546395
"Scale Up",0.5767400089806916
"Scale Up",0.4268826981896338
"Scale Up",0.5160243785014006
"Scale Up",0.2529630366978565
"Scale Up",0.2400013500286881
"Scale Up",0.258251468371537
"Scale Up",0.19416957933733964
"Scale Up",0.03483545804921435
"Scale Up",0.13495567932803887
"Scale Up",0.4122740391918578
"Scale Up",0.02556390977443609
"Scale Up",0.11978020131408694
"Scale Up",0.055091208590079925
"Scale Up",0.08450428715808692
"Scale Up",0.04737025426680599
"Scale Up",0.18514343534758218
"Scale Up",1.0541899683530584
"Scale Up",0.18883729520090758
"Scale Up",0.08511232035719268
"Scale Up",0.1970964566929134
"Scale Up",0.07837727086463597
"Scale Up",0.03189260495072554
"Scale Up",0.023151685293438282
"Scale Up",0.11754537597234227
"Scale Up",0.05852160762568168
"Scale Up",0.34224619988973776
"Scale Up",0.027003249726197102
"Scale Up",0.03322311447016218
"Scale Up",0.08216460390373434
"Scale Up",0.28624701337561126
"Scale Up",0.03476951013164954
"Scale Up",0.30799311747223523
"Scale Up",0.03169953444578124
"Scale Up",0.5088782453783476
"Scale Up",0.11498198419087813
"Scale Up",0.17139479717883013
"Scale Up",0.1197289464016002
"Scale Up",0.2174834490553851
"Scale Up",0.11494100570368541
"Scale Up",0.12158558187272389
"Scale Up",0.18347266144589988
"Scale Up",0.022407663407431326
"Scale Up",0.03478152205606698
"Scale Up",1.8404907975460124E-4
"Scale Up",0.36204872321690634
"Scale Up",0.13813380672362144
"Scale Up",0.2079299216228677
"Scale Up",0.07222429383797893
"Scale Up",0.13609661392217925
"Scale Up",0.06237603411952109
"Scale Up",0.0831275720164609
"Scale Up",0.16403039401512992
"Scale Up",0.09773712329953194
"Scale Up",0.08617994868719835
"Scale Up",0.04070804157787153
"Scale Up",0.09318832452852463
"Scale Up",0.01972184752779199
"Scale Up",0.2375383650334924
"Scale Up",0.28042423152975016
"Scale Up",0.02328646748681898
"Scale Up",0.0694592355934209
"Scale Up",0.04494646591963655
"Scale Up",0.15889621711773178
"Scale Up",0.04046631082513801
"Scale Up",0.014161180421683095
"Scale Up",0.20957866569912467
"Scale Up",0.5146534721981938
"Scale Up",0.22660019298809908
"Scale Up",0.119110593434319
"Scale Up",0.35181609325008106
"Scale Up",0.3143873056307382
"Scale Up",0.16573421213979153
"Scale Up",0.04912317400550849
"Scale Up",0.15192013570256668
"Scale Up",8.939854644585593E-4
"Scale Up",0.02848287713268688
"Scale Up",0.18147749934195556
"Scale Up",0.042538790842484644
"Scale Up",0.42285667650539316
"Scale Up",0.08132000267207018
"Scale Up",0.0013082998935785906
"Scale Up",0.03513804230907135
"Scale Up",0.3293169377979154
"Scale Up",0.25522113022113024
"Scale Up",0.2459690509685099
"Scale Up",0.12213638488768172
"Scale Up",0.035048261643707244
"Scale Up",0.2297018240981196
"Scale Up",0.22438043676141176
"Scale Up",0.07539486673247779
"Scale Up",1.114255226652966
"Scale Up",0.31156828790844754
"Scale Up",0.17204379562043795
"Scale Up",0.17957812963612332
"Scale Up",0.48177842565597667
"Scale Up",9.804379289415938E-4
"Scale Up",0.02594685080560787
"Scale Up",0.13492675404780263
"Scale Up",0.08347254478534273
"Scale Up",0.05640595330038849
"Scale Up",0.3433963672323236
"Scale Up",0.2581552794615945
"Scale Up",0.0011008331898598133
