session,expected_start,actual_start,expected_duration,actual_duration
KAT_and_DRA,158.778,175.981,28.662,29.785
KBPs,516.166,235.151,87.673,44.661
KD_Tree,1694.776,1717.54,5.017,5.647
Karatsuba,597.168,571.758,121.856,168.97
Key_Agreement_Strong_Adversaries,1538.971,1659.162,124.62,113.065
Khovanskii_Theorem,942.549,724.087,55.109,41.997
Kleene_Algebra,111.36,127.698,47.418,47.286
Kneser_Cauchy_Davenport,719.024,743.009,80.404,86.251
Knights_Tour,1344.968,1211.523,28.143,32.896
Knot_Theory,887.091,906.887,63.804,86.102
KnuthMorrisPratt,1579.04,1700.286,15.956,13.394
Knuth_Bendix_Order,532.575,496.505,10.555,10.132
Knuth_Morris_Pratt,1730.489,1798.129,16.15,9.64
Koenigsberg_Friendship,1201.978,1303.147,34.648,37.578
Kruskal,951.266,1010.785,49.35,58.213
Kummer_Congruence,1614.019,1711.426,16.114,10.328
Kuratowski_Closure_Complement,1757.47,1913.716,10.128,9.899
LCF,8.245,11.79,2.983,2.216
LEM,703.178,738.858,53.084,66.495
LL1_Parser,1022.243,1075.977,48.993,45.568
LLL_Basis_Reduction,779.346,811.625,99.406,96.893
LLL_Factorization,1069.043,938.038,50.424,44.021
LOFT,664.143,593.032,82.195,88.311
LP_Duality,1704.859,1843.498,5.749,5.551
LTL,275.475,302.361,50.939,45.881
LTL_Master_Theorem,624.768,660.41,53.965,66.553
LTL_Normal_Form,1340.686,1457.015,14.587,20.331
LTL_to_DRA,516.166,350.455,91.418,41.675
LTL_to_GBA,516.166,415.318,104.878,97.118
Labeled_Transition_Systems,721.783,731.914,15.091,13.824
Lam-ml-Normalization,1705.069,1749.965,10.525,9.156
LambdaAuth,924.888,955.847,39.577,29.95
LambdaMu,1728.955,1968.075,7.657,3.485
Lambda_Free_EPO,1390.49,1559.709,23.261,24.173
Lambda_Free_KBOs,732.447,769.753,46.899,41.356
Lambda_Free_RPOs,1131.021,1008.224,34.335,30.308
Lambert_Series,1690.82,1730.204,6.347,11.138
Lambert_W,1749.971,1814.273,9.465,10.831
Landau_Symbols,1707.349,1817.257,6.967,11.123
Laplace_Transform,1691.24,1755.872,7.222,15.719
Latin_Square,1731.688,1967.973,3.4,4.083
LatticeProperties,1749.97,1988.628,2.43,4.092
Launchbury,158.343,168.073,36.184,38.961
Laws_of_Large_Numbers,1763.949,1835.633,1.936,1.883
Lazy-Lists-II,1760.361,1825.886,2.377,2.83
Lazy_Case,1756.284,1825.922,2.119,2.128
Lehmer,1765.885,1837.911,1.842,2.026
Lifting_Definition_Option,1762.842,1793.783,2.911,2.198
Lifting_the_Exponent,1764.507,2007.476,1.771,1.681
LightweightJava,1236.923,1222.669,19.002,20.889
LinearQuantifierElim,924.422,1011.358,28.79,26.863
Linear_Inequalities,878.752,910.073,33.748,33.514
Linear_Programming,516.166,521.327,100.044,50.214
Linear_Recurrences,1021.757,1069.922,55.52,43.191
Linear_Recurrences_Solver,1560.401,1681.195,286.856,187.916
Liouville_Numbers,1763.109,1832.73,1.691,1.827
List-Index,1766.392,2011.644,1.761,1.503
List-Infinite,607.377,658.269,11.665,17.074
List_Interleaving,1766.278,2009.587,1.851,1.797
List_Inversions,1539.99,1669.948,17.565,10.522
List_Update,823.767,829.92,63.324,72.927
LocalLexing,1034.571,1055.802,25.179,21.644
Locales,1761.608,2004.926,2.899,2.009
Localization_Ring,1538.969,1519.969,16.008,15.296
Locally-Nameless-Sigma,1519.153,1652.647,14.745,13.73
Logging_Independent_Anonymity,1413.751,1584.385,23.918,22.823
Logics,8.86,12.839,0.303,0.319
Logics_ZF,21.272,24.56,0.74,0.787
Lorenz_Approximation,813.111,808.825,225.995,243.728
Lorenz_C0,1039.106,1054.14,816.097,582.762
Lorenz_C1,1757.052,1998.279,2.584,2.94
Lovasz_Local,1119.35,1134.649,22.348,23.329
Lowe_Ontological_Argument,1649.688,1801.794,7.46,6.452
Lower_Semicontinuous,1697.167,1741.778,7.902,7.804
Lp,1512.709,1532.318,21.108,15.182
Lucas_Theorem,1759.436,1825.901,2.103,2.484
MDP-Algorithms,1037.488,965.632,199.435,203.777
MDP-Rewards,987.569,862.055,25.415,24.038
MFMC_Countable,856.973,888.433,35.203,32.299
MFODL_Monitor_Optimized,1335.54,1536.069,243.5,162.195
MFOTL_Checker,1650.83,1906.298,83.621,67.008
MFOTL_Monitor,1094.886,1173.181,79.84,82.307
MHComputation,1738.862,1807.284,3.739,2.875
MLSS_Decision_Proc,111.36,124.17,79.885,77.729
ML_Unification,1470.338,1632.746,153.285,257.245
MSO_Regex_Equivalence,756.262,811.54,382.802,363.407
Main,1768.857,1842.464,1.856,1.198
Markov_Models,1092.622,1173.195,74.509,80.705
Marriage,1766.57,2011.658,1.776,1.865
Martingales,1083.893,1168.479,32.555,31.182
Mason_Stothers,1758.493,1822.907,1.868,2.379
Matrices_for_ODEs,665.12,666.238,56.82,55.161
Matrix,244.652,268.435,30.773,20.287
Matrix_Tensor,516.166,291.066,36.609,17.707
Matroids,1742.667,1982.107,4.908,2.554
Max-Card-Matching,1766.752,1840.077,2.105,1.646
Maximum_Segment_Sum,1737.241,1976.144,3.313,3.29
Median_Method,1721.853,1882.41,6.935,8.228
Median_Of_Medians_Selection,1593.707,1611.18,8.014,10.227
Menger,1720.534,1932.694,5.038,5.147
Mereology,1750.97,1960.56,4.109,2.41
Mersenne_Primes,826.896,852.134,30.077,35.026
Metalogic_ProofChecker,585.209,474.363,85.845,66.02
MiniML,1698.462,1772.042,8.887,10.563
MiniSail,920.479,917.938,614.075,726.256
Minimal_SSA,1706.628,1865.317,9.06,7.456
Minkowskis_Theorem,1763.902,1916.363,2.267,2.931
Minsky_Machines,1603.717,1600.231,12.71,32.843
Modal_Logics_for_NTS,135.777,155.405,80.464,82.777
Modular_Assembly_Kit_Security,1483.217,1498.366,16.008,19.524
Modular_arithmetic_LLL_and_HNF_algorithms,815.563,893.811,548.897,599.141
Monad_Memo_DP,1486.079,1504.987,100.414,94.031
Monad_Normalisation,1764.8,1837.661,1.841,1.735
MonoBoolTranAlgebra,1715.115,1845.064,5.803,8.926
MonoidalCategory,1557.555,1682.678,223.495,282.681
Monomorphic_Monad,1255.925,1246.158,18.432,23.872
MuchAdoAboutTwo,1724.399,1963.001,4.459,4.289
Multi_Party_Computation,552.895,615.367,80.241,77.805
Multirelations,894.664,939.73,56.602,69.446
Multirelations_Heterogeneous,872.517,502.557,70.032,58.85
Multiset_Ordering_NPC,1304.215,1418.153,16.007,16.552
Multitape_To_Singletape_TM,976.156,1019.389,47.658,50.859
Myhill-Nerode,1228.712,1326.847,36.491,32.464
Name_Carrying_Type_Inference,1597.077,1695.539,10.539,12.572
Nano_JSON,1749.016,1814.309,2.322,2.311
Nash_Williams,1615.826,1731.161,17.608,23.895
Nat-Interval-Logic,864.557,907.01,30.107,31.948
Native_Word,1110.872,1168.901,386.734,397.33
Nested_Multisets_Ordinals,601.222,595.794,45.945,56.652
Network_Security_Policy_Verification,1501.351,1711.503,187.488,191.312
Neumann_Morgenstern_Utility,1643.459,1897.14,15.228,6.849
Nitpick,9.161,13.515,0.244,0.24
No_FTL_observers,1404.739,1308.968,179.929,140.774
No_FTL_observers_Gen_Rel,1412.417,1525.637,219.627,182.644
Nominal2,111.36,127.716,24.417,26.608
Nominal_Myhill_Nerode,1139.064,1175.887,26.315,32.86
Noninterference_CSP,1118.809,1200.703,10.845,11.657
Noninterference_Concurrent_Composition,1738.037,1977.763,4.37,3.148
Noninterference_Generic_Unwinding,1618.938,1664.554,9.719,11.464
Noninterference_Inductive_Unwinding,1733.224,1971.605,5.156,2.9
Noninterference_Ipurge_Unwinding,1355.273,1477.694,6.836,7.648
Noninterference_Sequential_Composition,1369.501,1398.683,21.624,14.036
NormByEval,1616.427,1634.032,13.027,22.597
Nullstellensatz,1699.604,1837.601,5.255,5.104
Number_Theoretic_Transform,1240.016,1363.014,19.227,19.015
Octonions,1679.56,1705.709,4.708,5.161
Old_Datatype_Show,1693.22,1918.699,7.584,5.265
OmegaCatoidsQuantales,943.527,928.802,545.502,417.059
OpSets,1767.809,1840.089,12.966,5.307
Open_Induction,1757.735,1967.152,2.23,2.259
Optics,1511.243,1536.119,18.303,18.495
Optimal_BST,1699.842,1925.609,6.722,6.414
Orbit_Stabiliser,1723.724,1891.098,5.012,5.289
Order_Lattice_Props,245.686,268.111,34.107,28.624
Ordered_Resolution_Prover,603.839,476.738,60.792,44.049
Ordinal,191.245,203.233,10.298,10.805
Ordinal_Partitions,205.219,220.031,50.837,39.02
Ordinals_and_Cardinals,1771.562,2018.99,0.901,0.932
Ordinary_Differential_Equations,376.418,380.613,69.758,67.362
Orient_Rewrite_Rule_Undecidable,534.769,503.689,66.419,72.53
PAC_Checker,1224.29,1303.167,340.532,236.986
PAL,1718.043,1957.934,6.356,4.665
PAPP_Impossibility,881.748,907.028,57.412,60.47
PCF,1335.24,1531.261,30.013,26.927
PLM,1509.811,1647.097,20.128,11.402
PNT_with_Remainder,1754.52,1908.651,10.036,10.462
POPLmark-deBruijn,1554.983,1681.85,10.877,12.569
PSemigroupsConvolution,1463.398,1475.265,11.417,17.771
Package_logic,1157.785,1040.847,27.326,27.205
Padic_Field,813.111,809.073,982.428,969.653
Padic_Ints,592.829,597.227,97.18,91.363
Pairing_Heap,1746.146,1978.04,4.033,2.655
Paraconsistency,964.952,1045.28,35.2,27.284
Parity_Game,187.375,199.236,57.965,61.002
Partial_Function_MR,1735.088,1974.081,2.949,3.211
Partial_Order_Reduction,1122.578,1151.207,18.44,20.345
Password_Authentication_Protocol,1303.969,1517.026,28.645,17.445
Pell,1700.804,1948.827,6.288,4.11
Perfect-Number-Thm,1756.191,1825.932,2.007,1.916
Perfect_Fields,997.658,864.799,25.851,28.611
Perron_Frobenius,1530.079,1519.433,234.063,316.238
Physical_Quantities,813.111,435.83,71.91,74.965
Pi_Calculus,1088.461,1102.53,30.889,22.294
Pi_Transcendental,557.523,577.479,20.61,17.046
Picks_Theorem,1335.161,1457.031,205.96,209.771
Planarity_Certificates,187.07,196.176,69.922,76.326
Pluennecke_Ruzsa_Inequality,1017.909,1100.761,28.978,30.125
Poincare_Bendixson,813.111,809.15,105.213,107.525
Poincare_Disc,1230.679,1336.422,20.874,29.683
Polygonal_Number_Theorem,1141.698,1177.143,30.671,26.688
Polylog,1556.815,1537.897,17.0,18.612
Polynomial_Crit_Geometry,1107.15,1151.224,20.747,18.11
Polynomial_Factorization,736.874,769.765,39.696,32.718
Polynomial_Interpolation,1555.065,1574.047,13.659,14.567
Polynomials,338.277,359.587,85.429,99.289
Pop_Refinement,1733.77,1797.792,3.528,3.279
Posix-Lexing,1362.134,1468.749,541.456,421.263
Possibilistic_Noninterference,1732.466,1797.803,14.254,12.351
Power_Sum_Polynomials,1174.726,1256.385,21.404,25.652
Pratt_Certificate,1716.669,1882.425,7.055,8.287
Prefix_Free_Code_Combinators,1743.611,1908.553,3.963,3.652
Presburger-Automata,1402.497,1414.399,15.514,13.237
Prim_Dijkstra_Simple,1064.65,1117.122,54.159,58.943
Prime_Distribution_Elementary,894.617,885.382,48.91,41.938
Prime_Harmonic_Series,707.521,668.171,86.317,75.285
Prime_Number_Theorem,820.082,779.077,37.078,35.58
Priority_Queue_Braun,1594.384,1766.313,10.028,17.338
Priority_Search_Trees,813.111,809.196,32.492,26.261
Probabilistic_Noninterference,552.775,422.97,76.24,47.917
Probabilistic_Prime_Tests,1559.341,1537.911,398.568,250.94
Probabilistic_System_Zoo,1060.351,1131.494,34.535,40.372
Probabilistic_Timed_Automata,1564.822,1739.398,131.062,101.38
Probabilistic_While,415.938,443.794,25.234,34.655
Probability_Inequality_Completeness,1418.011,1431.626,13.785,14.51
Prog_Prove,1742.718,1807.906,2.336,2.18
Program-Conflict-Analysis,1529.939,1659.175,21.768,19.711
Progress_Tracking,647.167,660.424,56.011,55.225
Projective_Geometry,625.795,640.685,49.535,41.268
Projective_Measurements,423.706,461.716,308.741,304.622
Promela,368.923,411.026,89.597,83.49
Proof_Strategy_Language,1335.544,1457.046,118.262,113.851
PropResPI,1652.274,1801.808,6.811,9.586
Propositional_Logic_Class,1379.436,1276.091,25.303,31.937
Propositional_Proof_Systems,937.424,926.651,50.744,56.081
Prpu_Maxflow,476.907,508.132,85.231,86.403
PseudoHoops,187.924,206.257,63.208,67.096
Psi_Calculi,1407.323,1431.645,154.862,165.731
Ptolemys_Theorem,1765.804,1840.043,1.808,1.675
Public_Announcement_Logic,1728.427,1873.13,3.615,4.178
Pure,0.0,0.0,8.245,8.091
Pure-Examples,8.245,10.266,1.096,1.079
Pure-ex,8.245,10.286,1.11,1.044
Pushdown_Systems,1023.509,894.594,45.534,42.191
Q0_Metatheory,256.992,273.686,91.2,79.056
Q0_Soundness,1300.075,1493.88,35.465,22.092
QBF_Solver_Verification,1223.574,1455.259,30.435,24.714
QHLProver,892.176,922.307,31.463,29.455
QR_Decomposition,470.679,501.058,81.408,93.367
Quantales,279.793,297.159,58.484,61.116
Quantales_Converse,930.198,963.043,176.952,185.312
Quantifier_Elimination_Hybrid,1080.636,1173.646,243.936,204.096
Quasi_Borel_Spaces,1265.047,1149.024,31.128,31.147
Quaternions,1742.744,1982.121,12.484,9.19
Query_Optimization,278.912,306.893,89.703,51.378
Quick_Sort_Cost,857.16,859.568,34.942,30.411
RIPEMD-160-SPARK,1769.436,2010.266,1.342,1.205
ROBDD,1519.631,1587.405,17.134,14.677
RSAPSS,1302.812,1418.173,17.772,15.316
Ramsey-Infinite,1612.096,1600.782,14.459,23.748
Random_BSTs,1251.553,1367.149,12.257,13.972
Random_Graph_Subgraph_Threshold,1641.931,1657.77,11.747,11.364
Randomised_BSTs,1682.614,1747.032,8.104,6.345
Randomised_Social_Choice,912.5,943.952,17.698,16.235
Rank_Nullity_Theorem,1721.575,1789.884,4.608,4.054
Real_Impl,876.439,693.987,59.508,28.741
Real_Power,1729.991,1967.987,4.147,3.407
Real_Time_Deque,885.021,525.187,59.126,59.116
Recursion-Addition,21.272,23.102,1.401,1.322
Recursion-Theory-I,1770.778,2012.303,4.043,4.028
Refine_Imperative_HOL,988.168,986.976,292.021,303.725
Refine_Monadic,132.076,144.601,25.794,20.912
RefinementReactive,1738.38,1974.719,4.358,2.871
Regex_Equivalence,863.941,881.639,64.936,58.906
Region_Quadtrees,970.572,1019.43,51.671,53.239
Registers,878.047,964.744,46.375,45.73
Regression_Test_Selection,282.065,297.169,64.242,56.334
Regular-Sets,1272.766,1374.746,57.793,61.639
Regular_Algebras,623.602,572.208,83.919,95.6
Regular_Tree_Relations,1577.85,1610.762,104.764,135.018
Relation_Algebra,678.733,727.788,17.647,10.461
Relational-Incorrectness-Logic,1750.296,1904.984,2.658,2.836
Relational_Cardinality,1545.489,1670.226,154.528,145.736
Relational_Disjoint_Set_Forests,1098.127,964.479,98.88,102.758
Relational_Forests,998.707,864.821,46.545,48.531
Relational_Method,680.897,688.522,40.886,41.918
Relational_Minimum_Spanning_Trees,1219.635,1223.941,18.951,21.675
Relational_Paths,913.997,939.841,56.575,78.681
Rensets,1626.094,1731.568,8.608,11.577
Rep_Fin_Groups,868.483,859.584,55.365,52.304
ResiduatedTransitionSystem,1249.575,1353.059,289.396,246.035
Residuated_Lattices,1447.658,1463.322,13.301,16.044
Resolution_FOL,180.696,196.193,68.034,73.574
Rewrite_Properties_Reduction,888.992,964.758,40.175,39.538
Rewriting_Z,1384.369,1398.696,18.128,14.963
Ribbon_Proofs,1588.263,1580.782,14.315,18.561
Risk_Free_Lending,1727.232,1789.153,3.23,3.401
Robbins-Conjecture,1719.248,1785.319,4.737,4.122
Robinson_Arithmetic,1018.787,889.546,44.652,40.353
Root_Balanced_Tree,862.019,843.547,58.46,68.832
Roth_Arithmetic_Progressions,516.166,423.655,107.436,97.165
Routing,516.166,389.822,16.542,6.934
Roy_Floyd_Warshall,1770.403,1972.776,1.226,1.331
SATSolverVerification,1046.887,1131.51,33.749,40.204
SCC_Bloemen_Sequential,1562.185,1599.727,15.665,10.611
SC_DOM_Components,1551.973,1682.693,358.195,315.365
SDS_Impossibility,1335.414,1439.11,26.72,28.968
SIFPL,1336.425,1439.137,30.011,29.094
SIFUM_Type_Systems,1167.361,1265.854,34.617,36.523
SM,1547.212,1682.481,93.906,108.657
SML,8.245,10.299,0.453,0.777
SM_Base,1172.369,1211.019,125.372,126.72
SPARCv8,1613.864,1804.462,106.67,103.212
S_Finite_Measure_Monad,646.181,593.044,79.278,85.719
Safe_Distance,1630.133,1731.58,82.267,81.064
Safe_OCL,235.803,260.595,79.086,80.389
Safe_Range_RC,923.848,913.011,61.669,90.34
Saturation_Framework,664.631,593.057,30.893,32.542
Saturation_Framework_Extensions,1594.996,1713.866,15.575,16.75
Sauer_Shelah_Lemma,1768.927,1842.444,1.241,1.283
Schoenhage_Strassen,1254.009,1480.372,267.015,253.61
Schutz_Spacetime,1071.236,1122.179,39.636,44.957
Schwartz_Zippel,467.601,506.751,125.228,75.881
Secondary_Sylow,1733.708,1972.545,3.533,3.095
Security_Protocol_Refinement,1565.86,1695.568,133.744,102.764
Selection_Heap_Sort,1713.055,1873.358,8.798,5.748
SenSocialChoice,1629.454,1657.805,14.988,13.257
Separata,1716.058,1753.095,4.055,4.712
Separation_Algebra,1307.238,1413.864,28.176,24.749
Separation_Logic_Imperative_HOL,543.13,508.149,58.092,69.534
Separation_Logic_Unbounded,1431.796,1446.711,15.862,16.155
Sepref_Basic,333.206,341.014,17.66,19.647
Sepref_IICF,364.726,388.957,31.41,33.768
Sepref_Prereq,301.597,311.1,31.609,29.011
SequentInvertibility,1045.252,914.022,45.153,48.729
Sequents,8.245,11.805,1.539,1.4
Shadow_DOM,948.647,1070.383,224.435,357.378
Shadow_SC_DOM,824.584,779.101,727.389,664.522
Shivers-CFA,1742.636,1810.368,15.857,11.868
ShortestPath,1723.294,1882.551,7.369,7.442
Show,1042.113,1116.444,41.78,51.195
Sigma_Commit_Crypto,747.321,838.09,46.49,54.716
Signature_Groebner,695.524,700.623,68.056,76.77
Simpl,111.36,129.447,70.55,63.824
Simple_Clause_Learning,1549.288,1766.748,80.165,117.96
Simple_Firewall,346.307,360.24,18.419,23.179
Simplex,245.34,262.979,58.581,65.797
Simplicial_complexes_and_boolean_functions,813.111,435.849,63.328,71.458
SimplifiedOntologicalArgument,919.202,939.859,56.954,64.922
Skew_Heap,1764.711,1837.99,2.041,1.639
Skip_Lists,1747.155,1897.695,9.093,11.058
Sledgehammer,8.922,12.495,0.239,0.238
Slicing,1165.379,1211.47,206.579,178.99
Sliding_Window_Algorithm,1769.278,1842.023,7.043,7.622
Smith_Normal_Form,547.126,580.297,268.437,307.794
Smooth_Manifolds,1127.897,1170.473,19.772,16.2
Solidity,248.73,270.652,504.401,546.371
Sophomores_Dream,1764.767,2009.607,1.625,1.653
Sort_Encodings,935.947,724.1,48.047,40.033
Source_Coding_Theorem,1742.407,1981.574,3.035,3.066
SpecCheck,8.245,11.432,1.228,0.989
Special_Function_Bounds,1584.668,1557.964,14.359,20.887
Splay_Tree,1703.752,1770.209,15.496,13.674
Sqrt_Babylonian,725.459,680.821,15.711,11.26
Stable_Matching,704.643,756.089,81.306,65.138
Stalnaker_Logic,1745.427,1958.002,3.646,2.427
Standard_Borel_Spaces,1173.082,1429.081,24.093,25.442
Statecharts,1327.849,1211.571,27.289,33.958
Stateful_Protocol_Composition_and_Typing,333.046,327.115,201.723,174.439
Stellar_Quorums,1734.451,1974.097,5.592,2.877
Stern_Brocot,1180.265,1204.225,39.37,17.812
Stewart_Apollonius,1747.574,1958.013,3.396,2.405
Stirling_Formula,856.226,859.6,32.517,32.721
Stochastic_Matrices,1400.93,1583.862,263.395,257.505
Stone_Algebras,618.04,572.223,71.13,67.528
Stone_Kleene_Relation_Algebras,813.111,801.858,148.135,59.455
Stone_Relation_Algebras,696.38,738.994,64.095,60.05
Store_Buffer_Reduction,168.871,181.707,54.083,60.834
Stream-Fusion,1726.183,1794.334,4.875,4.036
Stream_Fusion_Code,1758.403,1829.673,5.907,5.937
StrictOmegaCategories,1716.433,1785.332,5.142,4.343
Strong_Security,1680.041,1712.541,10.779,16.993
Sturm_Sequences,944.147,724.347,36.436,28.143
Sturm_Tarski,1573.815,1557.978,14.448,21.194
Stuttering_Equivalence,1734.962,1904.0,5.889,3.669
Subresultants,516.166,524.563,57.701,46.464
Subset_Boolean_Algebras,1103.564,1128.456,19.014,19.352
Substitutions_Lambda_Free,1725.985,1789.35,3.749,3.114
Sugar,1769.49,2015.821,1.266,1.124
SumSquares,1730.462,1793.758,3.308,3.246
Sumcheck_Protocol,1320.222,1435.26,14.939,20.031
Sunflowers,1761.081,1829.683,2.028,2.038
SuperCalc,1297.741,1339.695,32.973,18.901
Suppes_Theorem,845.603,836.345,49.014,46.477
Surprise_Paradox,1759.636,2001.86,1.972,2.54
Symmetric_Polynomials,275.425,289.83,63.194,58.171
Syntax_Independent_Logic,881.19,513.215,137.597,107.248
Synthetic_Completeness,1538.524,1519.986,18.291,17.112
System,8.245,11.165,4.803,4.657
Szemeredi_Regularity,1728.7,1794.599,3.67,3.369
Szpilrajn,1755.299,1910.684,2.171,2.86
TESL_Language,1513.013,1505.835,17.066,13.413
TLA,1664.113,1912.35,11.594,5.577
Tail_Recursive_Functions,1735.445,1803.742,3.417,2.92
Tarskis_Geometry,1364.155,1412.03,25.007,27.177
Taylor_Models,829.185,829.935,84.812,106.067
Three_Circles,1307.82,1383.243,27.42,27.851
Three_Squares,779.485,839.65,287.802,236.604
Timed_Automata,194.958,220.326,57.046,55.147
Tools,8.245,11.179,4.111,4.568
Top_Down_Solver,1022.809,1065.813,50.497,36.732
Topological_Semantics,1272.97,1374.77,34.268,33.117
Topology,1726.782,1875.101,8.038,9.057
TortoiseHare,1749.519,1817.351,2.559,2.58
Transcendence_Series_Hancl_Rucki,1633.434,1755.89,168.588,212.926
Transformer_Semantics,1705.035,1730.88,4.578,4.095
Transition_Systems_and_Automata,321.759,317.316,210.816,176.994
Transitive-Closure,1741.793,1975.239,4.353,2.481
Transitive-Closure-II,1607.616,1708.62,7.718,11.276
Transitive_Models,33.993,34.298,25.244,17.278
Transport,1657.992,1686.146,116.051,133.561
Treaps,1124.588,1008.24,33.197,31.88
Tree-Automata,1152.214,1249.818,43.89,40.709
Tree_Decomposition,1740.945,1889.813,3.736,4.216
Tree_Enumeration,111.36,121.724,46.983,44.869
Triangle,1740.71,1908.566,3.569,3.036
Trie,1636.57,1684.511,7.531,6.987
TsirelsonBound,1320.584,1436.144,14.96,16.38
Turans_Graph_Theorem,746.338,692.637,73.744,71.364
Tutorial,1745.442,1985.597,12.546,12.723
Twelvefold_Way,756.095,743.025,67.672,76.243
Two_Generated_Word_Monoids_Intersection,1489.029,1632.969,20.782,13.712
Tycon,1724.11,1866.991,4.317,5.448
Typeclass_Hierarchy,1768.129,2011.672,7.125,7.087
Types_Tableaus_and_Goedels_God,1653.678,1671.413,9.864,13.18
Types_To_Sets_Extension,760.475,811.594,57.026,58.104
UPF,201.543,214.823,18.219,20.389
UPF_Firewall,882.741,1022.28,65.906,46.224
UTP,1227.116,1107.91,37.931,40.448
UTP-Toolkit,711.77,763.945,29.43,20.648
Uncertainty_Principle,1751.729,1817.367,2.269,2.348
Undirected_Graph_Theory,1185.111,1068.406,36.383,38.418
Universal_Hash_Families,888.743,893.225,667.811,565.487
Universal_Turing_Machine,1453.806,1571.489,160.213,137.09
UpDown_Scheme,1296.175,1180.996,31.674,28.718
VYDRA_MDL,633.136,695.336,56.718,59.915
Valuation,1354.678,1381.573,14.823,16.683
Van_Emde_Boas_Trees,1451.07,1696.273,192.389,180.72
Van_der_Waerden,1725.572,1938.247,4.419,5.064
VectorSpace,1713.474,1740.971,13.758,14.34
VeriComp,1746.639,1810.392,3.332,2.877
Verified-Prover,1738.519,1884.821,4.723,6.857
Verified_SAT_Based_AI_Planning,813.111,809.211,61.46,61.05
VerifyThis2018,1121.713,1200.749,48.572,49.387
VerifyThis2019,1460.959,1479.79,15.648,18.129
Vickrey_Clarke_Groves,789.552,779.119,78.931,56.516
Virtual_Substitution,1366.436,1468.764,331.912,237.546
VolpanoSmith,1727.744,1953.392,3.944,5.398
WHATandWHERE_Security,1474.815,1493.903,11.264,10.226
WOOT_Strong_Eventual_Consistency,1330.714,1359.795,23.964,21.042
WebAssembly,578.133,597.237,47.662,42.475
Weight_Balanced_Trees,1537.982,1519.999,21.359,16.344
Weighted_Arithmetic_Geometric_Mean,1769.894,1925.641,1.23,1.627
Weighted_Path_Order,741.17,692.933,48.382,53.421
Well_Quasi_Orders,1347.652,1383.093,13.462,12.437
Wetzels_Problem,1299.285,1397.657,37.14,28.332
Wieferich_Kempner,1320.3,1530.071,231.337,151.793
Winding_Number_Eval,1129.654,1212.939,37.707,51.827
Word_Lib,111.36,124.183,47.873,48.976
WorkerWrapper,1731.058,1799.168,4.191,3.946
X86_Semantics,813.111,809.229,577.379,549.492
XML,1512.644,1395.596,25.338,15.262
Youngs_Inequality,1657.433,1714.717,9.817,9.496
ZF,8.245,11.446,13.027,10.553
ZF-AC,21.272,24.966,2.116,1.848
ZF-Coind,21.272,24.577,0.774,0.783
ZF-Constructible,21.272,23.117,8.791,7.221
ZF-IMP,21.272,24.984,1.078,1.219
ZF-Induct,21.272,23.132,3.341,2.839
ZF-Resid,21.272,25.001,1.433,1.471
ZF-UNITY,24.613,26.682,4.145,2.965
ZF-ex,21.272,25.019,2.803,2.746
ZFC_in_HOL,111.36,126.016,17.851,17.331
Zeckendorf,1738.111,1978.001,4.556,3.67
Zeta_3_Irrational,1356.029,1467.72,30.635,32.931
Zeta_Function,617.076,666.86,44.814,43.923
pGCL,1536.988,1749.7,12.3,15.681
