session,expected_start,actual_start,expected_duration,actual_duration
Clean,1067.287,1131.479,25.335,39.879
Clique_and_Monotone_Circuits,1274.357,1271.303,15.014,24.357
ClockSynchInst,1764.556,1919.821,1.807,1.99
Closest_Pair_Points,1259.243,1383.063,22.059,16.857
CoCon,1032.108,909.452,506.861,483.729
CoSMeDis,711.746,655.553,904.08,663.718
CoSMed,1387.579,1415.09,106.493,123.796
Codegen,1706.521,1749.95,58.19,65.299
CofGroups,1768.153,2013.701,1.371,1.413
Coinductive,267.526,280.759,76.395,73.865
Coinductive_Languages,1626.981,1664.465,6.705,9.154
Collections,157.87,166.182,143.727,141.835
Collections_Examples,314.889,345.128,65.472,61.13
Combinable_Wands,1658.687,1906.09,5.426,5.713
Combinatorial_Enumeration_Algorithms,1644.101,1692.568,6.155,5.931
Combinatorics_Words,805.566,877.11,39.533,37.892
Combinatorics_Words_Graph_Lemma,1767.612,1842.417,1.372,1.362
Combinatorics_Words_Lyndon,1744.279,1912.267,4.91,2.468
CommCSL,813.111,435.79,69.757,69.508
Commuting_Hermitian,813.111,808.658,48.908,33.549
Comparison_Sort_Lower_Bound,1714.728,1856.748,4.613,4.479
Compiling-Exceptions-Correctly,1757.114,1816.809,3.163,3.212
Complete_Non_Orders,1386.664,1501.523,25.753,23.818
Completeness,1537.575,1519.956,17.128,15.601
Complex_Bounded_Operators,764.303,818.565,113.744,144.598
Complex_Bounded_Operators_Dependencies,439.31,450.279,324.993,321.893
Complex_Geometry,619.042,675.809,38.867,32.871
Complx,1562.653,1738.994,131.54,117.546
ComponentDependencies,1281.302,1400.64,21.51,16.731
Concentration_Inequalities,1476.607,1498.35,18.29,19.864
ConcurrentHOL,343.921,364.676,81.423,85.018
ConcurrentIMP,1762.056,1916.35,33.288,21.954
Concurrent_Ref_Alg,1737.433,1885.216,3.512,4.029
Concurrent_Revisions,1350.619,1362.326,17.044,19.789
CondNormReasHOL,1707.092,1953.363,10.951,3.936
Conditional_Simplification,1768.0,1842.428,1.436,1.497
Conditional_Transfer_Rule,675.33,682.417,5.567,4.9
Consensus_Refined,1518.321,1505.797,20.203,13.228
Constructive_Cryptography,964.465,988.414,70.106,66.813
Constructive_Cryptography_CM,1362.109,1486.694,157.044,165.051
Constructor_Funs,1625.095,1782.231,14.148,12.133
Containers,348.192,354.514,91.118,92.705
Containers-Benchmarks,1592.144,1623.911,111.608,116.474
Continued_Fractions,1361.114,1396.627,64.821,63.87
Cook_Levin,983.994,862.027,538.297,594.071
CoreC++,338.619,349.265,88.466,99.313
Core_DOM,671.271,619.641,247.931,256.786
Core_SC_DOM,516.166,235.13,308.418,107.954
Corec,1715.594,1759.69,57.239,44.062
Correctness_Algebras,1141.018,1172.498,206.634,209.581
Cotangent_PFD_Formula,1750.179,1981.067,4.261,2.093
Count_Complex_Roots,928.877,941.901,92.88,121.155
Coupledsim_Contrasim,1324.572,1435.245,16.114,16.649
CryptHOL,441.172,479.119,84.485,97.263
CryptoBasedCompositionalProperties,1718.445,1854.716,4.706,9.082
Crypto_Standards,864.277,890.441,905.181,841.575
Cube,8.245,11.747,0.615,0.847
Cubic_Quartic_Equations,1495.62,1395.58,22.701,14.991
CubicalCategories,1284.798,1400.654,19.417,13.52
DCR-ExecutionEquivalence,1765.753,1837.966,2.056,1.635
DFS_Framework,1556.554,1682.635,154.299,161.637
DOM_Components,1572.319,1557.435,134.202,178.324
DPRM_Theorem,111.36,127.658,83.598,91.373
DPT-SAT-Solver,1762.738,1828.947,1.942,2.666
DataRefinementIBP,1754.162,1823.456,2.029,2.031
Datatype_Order_Generator,1238.586,1246.145,132.036,141.963
Datatypes,1602.578,1600.195,77.463,110.025
Decl_Sem_Fun_PL,1407.664,1583.346,20.618,26.101
Decreasing-Diagrams,1674.892,1902.12,8.366,7.715
Decreasing-Diagrams-II,1609.293,1635.96,9.632,11.394
Dedekind_Real,1715.688,1873.345,7.606,5.637
Deep_Learning,1508.869,1531.289,100.424,86.605
Delta_System_Lemma,30.063,30.742,3.93,3.183
Demo_EPTCS,1774.639,1984.063,1.094,0.84
Demo_Easychair,1774.504,1983.54,1.037,0.764
Demo_FoilTeX,1774.821,2016.857,0.883,0.78
Demo_LIPIcs,1775.044,1993.746,0.915,0.863
Demo_LLNCS,1774.365,2015.843,0.876,0.978
Density_Compiler,516.166,423.584,101.874,106.229
Dependent_SIFUM_Refinement,216.241,239.493,59.234,62.085
Dependent_SIFUM_Type_Systems,111.36,121.7,51.782,52.109
Depth-First-Search,1767.727,1840.464,1.332,1.341
Derandomization_Conditional_Expectations,1203.155,1282.583,27.524,42.045
Derangements,1534.554,1659.149,25.847,17.739
Deriving,279.265,289.545,53.781,36.109
Descartes_Sign_Rule,1759.965,1969.698,2.486,2.539
Design_Theory,1077.277,1122.164,44.436,46.822
Dict_Construction,1206.26,1303.127,36.562,36.359
Differential_Dynamic_Logic,1617.536,1677.056,108.449,110.833
Differential_Game_Logic,1000.152,1074.621,26.578,27.722
Digit_Expansions,1726.731,1865.359,5.571,7.301
DigitsInBase,1752.954,1908.057,2.345,2.091
