cpu,threads,time,cputime
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,1,1291,1319
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,1,1077,1105
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,4,419,1453
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,4,360,1270
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,8,292,1921
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,8,294,1956
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,6,307,1578
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,6,317,1627
Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,12,271,2329
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,1,1858,1894
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,1,1575,1610
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,4,734,2518
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,4,623,2160
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,8,382,2407
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,8,368,2338
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,16,254,2656
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,16,257,2764
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,14,262,2561
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,14,280,2787
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,28,386,3662
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,28,388,3821
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,28,387,3913
Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,1,1565,1587
Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,1,1512,1534
Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,613,2128
Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,4,622,2179
Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,8,503,2790
Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,8,488,2783
Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,8,596,3477
12th Gen Intel(R) Core(TM) i9-12900K,1,724,730
12th Gen Intel(R) Core(TM) i9-12900K,1,609,617
12th Gen Intel(R) Core(TM) i9-12900K,4,219,758
12th Gen Intel(R) Core(TM) i9-12900K,4,189,657
12th Gen Intel(R) Core(TM) i9-12900K,8,108,727
12th Gen Intel(R) Core(TM) i9-12900K,8,116,759
12th Gen Intel(R) Core(TM) i9-12900K,16,110,1210
12th Gen Intel(R) Core(TM) i9-12900K,12,103,986
12th Gen Intel(R) Core(TM) i9-12900K,24,161,1637
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,1,1345,1374
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,1,1229,1257
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,4,410,1400
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,4,396,1345
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,3,591,1577
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,3,529,1420
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,6,339,1502
Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,6,317,1398
